Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_101,Urology Service,"1,815","1,014",55.90%,15.5,54.3,160,22
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"4,537","2,327",51.30%,17.5,61.2,593,144
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"3,096","1,839",59.40%,14.8,43.4,108,13
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"1,914","1,401",73.20%,10.7,28.5,44,11
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_140,Oral Surgery Service, -   , -   , -   ,-,-,0,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,938,433,46.20%,21.2,54.9,104,10
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,"1,054",680,64.50%,13.8,38.8,20,2
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"1,141",808,70.80%,10.6,35.4,15,1
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_320,Cardiology Service,855,742,86.80%,7.9,22.2,0,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_330,Dermatology Service,"2,229","1,861",83.50%,7.6,22.4,6,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,797,501,62.90%,14.6,36,8,1
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_400,Neurology Service,567,506,89.20%,7.2,21.1,1,1
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_410,Rheumatology Service,245,222,90.60%,3.7,18.9,0,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,54,46,85.20%,6.9,19.7,0,0
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,C_502,Gynaecology Service,"2,381","1,361",57.20%,14.9,63.7,255,84
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,X02,Other - Medical Services,"1,818","1,220",67.10%,10.7,38.7,40,12
