Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Year_Num,Month_Num,Source_File, 52 plus 
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_300,General Medicine, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_301,Gastroenterology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_320,Cardiology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_330,Dermatology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_340,Thoracic Medicine, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_400,Neurology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_410,Rheumatology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_430,Geriatric Medicine, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,C_502,Gynaecology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,X01,Other,573,452,78.90%,9.6,23,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_100,General Surgery,"3,255","2,751",84.50%,8.9,24.3,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_101,Urology,"2,230","1,988",89.10%,7.8,20.4,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"9,653","7,711",79.90%,9.2,25.9,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)","3,809","3,433",90.10%,7.1,20.1,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_130,Ophthalmology,"6,736","5,722",84.90%,8.7,22,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_140,Oral Surgery,787,704,89.50%,8,20.5,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_150,Neurosurgery,91,45,49.50%,18.3,30.4,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_160,Plastic Surgery,314,249,79.30%,7.8,28.1,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery,10,9,90.00%,-,-,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_300,General Medicine,142,136,95.80%,3,17.2,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_301,Gastroenterology,"2,542","2,417",95.10%,6,16.6,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_320,Cardiology,"2,812","2,533",90.10%,8.3,19.6,2019,12,RTT_2019_DEC,
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,C_330,Dermatology,"3,256","2,540",78.00%,8.6,22.5,2019,12,RTT_2019_DEC,
