Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Year_Num,Month_Num,Source_File
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"3,252","1,696",52.20%,15.5,66.9,427,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"5,023","2,373",47.20%,19.9,74.2,"1,153",2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"1,159",809,69.80%,10.1,47.1,83,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,848,519,61.20%,10.8,42.7,23,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,39,34,87.20%,6.5,24.9,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,255","2,624",61.70%,13.1,54.6,353,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_320,Cardiology Service,"2,807","2,067",73.60%,9.6,30.5,1,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_330,Dermatology Service,921,730,79.30%,6,28.6,4,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,803,725,90.30%,5.8,19,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_400,Neurology Service,415,382,92.00%,3.9,18,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_410,Rheumatology Service,706,648,91.80%,2.4,18.5,1,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,439,339,77.20%,8.8,29.7,2,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_502,Gynaecology Service,"2,644","2,297",86.90%,5.4,23.4,12,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,X02,Other - Medical Services,"3,305","2,518",76.20%,7.3,28,45,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,X03,Other - Mental Health Services,6,6,100.00%,-,-,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,X04,Other - Paediatric Services,580,464,80.00%,7.2,32.9,18,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,X05,Other - Surgical Services,487,451,92.60%,1.9,16.7,4,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,X06,Other - Other Services,608,505,83.10%,5,29.1,12,2021,5,RTT_2021_MAY
