provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
RBD,25.1,10.5620155,-86,0,Respiratory Medicine Service,85.2713,258
RBK,26.6,-1.793224129,73,0,Dermatology Service,73.0143,982
RBK,12.7,0.428340706,-40,0,Elderly Medicine Service,99.0099,101
RBK,22.7,-8.01193678,55,0,Neurology Service,76.7802,969
RBK,25.2,-5.92917123,-2,0,Other - Other Services,65.7576,330
RBK,35.3,-1.278890601,8,0,Plastic Surgery Service,55.0847,118
RBK,17.8,-3.320906692,36,0,Respiratory Medicine Service,92.5759,889
RBK,28.2,4.019309316,-34,0,Rheumatology Service,74.1162,792
RBL,28.5,4.709789565,-16,0,General Surgery Service,84.345,313
RBN,25.3,1.802007039,-94,0,Elderly Medicine Service,85.3755,253
RBN,19.8,0.194805195,-90,0,General Internal Medicine Service,90.9091,330
RBN,41.9,0.652173913,-6,0,Neurosurgical Service,55,40
RBQ,45.3,0.072635687,15,0,Cardiothoracic Surgery Service,55.9905,843
RBQ,22.7,-6.401837644,-4,0,Respiratory Medicine Service,82.5429,991
RBT,22,-2.476190476,4,0,Elderly Medicine Service,88,25
RBT,10.9,10.18760616,-90,0,Other - Other Services,99.6689,604
RBV,13.6,0.138888889,3,0,Gynaecology Service,97.9167,48
RBV,20.1,-3.933747412,-14,0,Other - Surgical Services,90.4762,147
RBV,15.9,-1.003153331,-21,0,Plastic Surgery Service,93.4884,215
RBV,22.2,-2.923976608,0,0,Urology Service,85.9649,171
RC9,38,-1.534643637,49,0,Elderly Medicine Service,64.4928,414
RCB,15,-2.057749751,7,0,Elderly Medicine Service,95.6522,138
RCB,NULL,0,-1,0,General Internal Medicine Service,100,6
RCB,22.5,-16.41025641,-49,0,General Surgery Service,76.9231,26
RCB,24.6,-10.57530705,-6,0,Other - Other Services,72.9412,85
RCB,36.6,9.152348225,14,0,Plastic Surgery Service,68.0412,194
RCB,25.8,7.242168045,56,0,Rheumatology Service,83.9793,387
RCD,19.5,-1.23655914,2,0,Elderly Medicine Service,87.0968,62
RCD,28.6,5.336876639,11,0,Gastroenterology Service,70.0357,841
RCD,34.3,-1.589098089,-119,0,Neurology Service,57.1839,696
RCD,32.4,4.703196347,-56,0,Oral Surgery Service,71.3699,730
RCD,22.5,4.500238525,-16,0,Other - Medical Services,84.7023,974
RCD,31.8,4.53681604,26,0,Other - Surgical Services,71.7477,761
RCD,26,-0.726010101,-9,0,Respiratory Medicine Service,76.0417,288
RCD,21.8,2.324737458,11,0,Rheumatology Service,87.1314,373
RCF,11.8,-3.846153846,-3,0,Dermatology Service,96.1538,52
RCF,32.4,4.674824954,41,0,Ear Nose and Throat Service,78.9157,996
RCF,33.6,2.126245847,8,0,Elderly Medicine Service,90.6977,43
RCF,20.1,-2.771836007,105,0,Ophthalmology Service,89.8039,765
RCF,20.8,-0.661375661,35,0,Oral Surgery Service,89.2857,224
RCF,37.5,7.023490931,-20,0,Other - Paediatric Services,77.193,570
RCF,31.1,-1.229508197,-3,0,Other - Surgical Services,73.7705,61
RCF,40.3,10.71428571,-15,0,Plastic Surgery Service,79.0476,105
RCF,32.1,7.999014702,-97,0,Respiratory Medicine Service,78.839,534
